"","wwtp_name","sample_collect_date","flow_rate","sample_type","sample_id","lab_id"
"1","Utility1","6/16/2022",1.198,"24-hr flow-weighted composite","UA20220616","CDPHE"
"2","Utility1","6/22/2023",1.385,"24-hr flow-weighted composite","UA20230622","CDPHE"
"3","Utility1","6/29/2023",1.256,"24-hr flow-weighted composite","UA20230629","CDPHE"
"4","Utility1","7/17/2023",1.134,"24-hr flow-weighted composite","UA20230717","CDPHE"
"5","Utility1","7/17/2024",1.134,"24-hr flow-weighted composite","UA20240717","CDPHE"
"6","Utility1","7/18/2024",1.134,"24-hr flow-weighted composite","UA20240718","CDPHE"
"7","Utility1","8/5/2024",1.065,"24-hr flow-weighted composite","UA20240805","CDPHE"
"8","Utility1","9/12/2024",1.186,"24-hr flow-weighted composite","UA20240912","CDPHE"
"9","Utility1","9/30/2024",1.116,"24-hr flow-weighted composite","UA20240930","CDPHE"
"10","Utility1","10/3/2024",1.251,"Grab","UA20241003","CDPHE"
"11","Utility1","10/3/2024",1.251,"Grab","UA20241003","CDPHE"
"12","Utility1","9/12/2024",1.186,"24-hr flow-weighted composite","UA20240912","CDPHE"
"13","Utility1","9/12/2024",1.186,"Composite","UA20240912-COMPOSITE","CDPHE"
"14","Utility1","12/5/2024",0.971,"Composite","UA20241205","CDPHE"
"15","Utility2","9/30/2024",11.29,"24-hr flow-weighted composite","UB20240930","CDPHE"
"16","Utility2","10/3/2024",11.75,"24-hr flow-weighted composite","UB20241003","CDPHE"
"17","Utility2","10/3/2024",11.75,"24-hr flow-weighted composite","UB20241003","CDPHE"
"18","Utility2","10/10/2024",11.29,"24-hr flow-weighted composite","UB20241010","CDPHE"
"19","Utility2","12/5/2024",10.89,"Composite ","UB20241205","CDPHE"
"20","Utility3","9/26/2022",1.652,"24-hr flow-weighted composite","UC20220926","CDPHE"
"21","Utility3","10/17/2022",1.76,"24-hr flow-weighted composite","UC20221017","CDPHE"
"22","Utility3","10/20/2022",1.671,"24-hr flow-weighted composite","UC20221020","CDPHE"
"23","Utility3","10/24/2022",1.657,"24-hr flow-weighted composite","UC20221024","CDPHE"
"24","Utility3","10/27/2022",1.656,"24-hr flow-weighted composite","UC20221027","CDPHE"
"25","Utility3","10/31/2022",1.589,"24-hr flow-weighted composite","UC20221031","CDPHE"
"26","Utility3","11/3/2022",1.804,"24-hr flow-weighted composite","UC20221103","CDPHE"
"27","Utility3","11/14/2022",1.604,"24-hr flow-weighted composite","UC20221114","CDPHE"
"28","Utility3","5/18/2023",1.839,"24-hr flow-weighted composite","UC20230518","CDPHE"
"29","Utility3","6/29/2023",1.791,"24-hr flow-weighted composite","UC20230629","CDPHE"
"30","Utility3","7/6/2023",1.7,"24-hr flow-weighted composite","UC20230706","CDPHE"
"31","Utility3","7/10/2023",1.7,"24-hr flow-weighted composite","UC20230710","CDPHE"
"32","Utility3","6/27/2024",1.704,"24-hr flow-weighted composite","UC20240627","CDPHE"
"33","Utility3","8/26/2024",1,"24-hr flow-weighted composite","UC20240826","CDPHE"
"34","Utility3","9/12/2024",1.724,"24-hr flow-weighted composite","UC20240912","CDPHE"
"35","Utility3","9/30/2024",1.675,"24-hr flow-weighted composite","UC20240930","CDPHE"
"36","Utility3","10/3/2024",1.776,"24-hr flow-weighted composite","UC20241003","CDPHE"
"37","Utility3","10/3/2024",1.776,"24-hr flow-weighted composite","UC20241003","CDPHE"
"38","Utility3","12/5/2024",1.66,"Composite ","UC20241205","CDPHE"
"39","Utility3","12/5/2024",1.66,"Composite ","UC20241205","CDPHE"
"40","Utility5","3/2/2022",1.16,"24-hr flow-weighted composite","UE20220302","CDPHE"
"41","Utility5","9/26/2022",0.82,"24-hr flow-weighted composite","UE20220926","CDPHE"
"42","Utility5","10/5/2022",0.92,"24-hr flow-weighted composite","UE20221005","CDPHE"
"43","Utility5","3/11/2024",0.868,"24-hr flow-weighted composite","UE20240311","CDPHE"
"44","Utility5","4/11/2024",0.783,"24-hr flow-weighted composite","UE20240411","CDPHE"
"45","Utility5","4/29/2024",0.779,"24-hr flow-weighted composite","UE20240429","CDPHE"
"46","Utility5","5/6/2024",0.791,"24-hr flow-weighted composite","UE20240506","CDPHE"
"47","Utility5","8/22/2024",0.865,"24-hr flow-weighted composite","UE20240822","CDPHE"
"48","Utility5","9/30/2024",0.743,"24-hr flow-weighted composite","UE20240930","CDPHE"
"49","Utility5","10/3/2024",0.719,"24-hr flow-weighted composite","UE20241003","CDPHE"
"50","Utility5","10/3/2024",0.719,"24-hr flow-weighted composite","UE20241003","CDPHE"
"51","Utility5","10/8/2024",0.73,"24-hr flow-weighted composite","UE20241008","CDPHE"
"52","Utility5","10/10/2024",0.735,"24-hr flow-weighted composite","UE20241010","CDPHE"
"53","Utility5","11/14/2024",0.718,"Composite ","UE20241114","CDPHE"
"54","Utility5","12/5/2024",0.566,"Composite","UE20241205","CDPHE"
"55","Utility4","5/4/2022",7.48,"24-hr flow-weighted composite","UD20220504","CDPHE"
"56","Utility4","7/25/2022",8.48,"24-hr flow-weighted composite","UD20220725","CDPHE"
"57","Utility4","8/17/2022",8.49,"24-hr flow-weighted composite","UD20220817","CDPHE"
"58","Utility4","9/6/2022",8.23,"24-hr flow-weighted composite","UD20220906","CDPHE"
"59","Utility4","10/10/2022",8.7,"24-hr flow-weighted composite","UD20221010","CDPHE"
"60","Utility4","2/1/2023",7.14,"24-hr flow-weighted composite","UD20230201","CDPHE"
"61","Utility4","3/20/2023",7.15,"24-hr flow-weighted composite","UD20230320","CDPHE"
"62","Utility4","4/3/2023",7.75,"24-hr flow-weighted composite","UD20230403","CDPHE"
"63","Utility4","4/12/2023",7.26,"24-hr flow-weighted composite","UD20230412","CDPHE"
"64","Utility4","5/22/2023",7.18,"24-hr flow-weighted composite","UD20230522","CDPHE"
"65","Utility4","5/23/2023",7.18,"24-hr flow-weighted composite","UD20230522","CDPHE"
"66","Utility4","6/14/2023",7.18,"24-hr flow-weighted composite","UD20230614","CDPHE"
"67","Utility4","6/21/2023",7.2,"24-hr flow-weighted composite","UD20230621","CDPHE"
"68","Utility4","6/26/2023",7.62,"24-hr flow-weighted composite","UD20230626","CDPHE"
"69","Utility4","6/28/2023",7.28,"24-hr flow-weighted composite","UD20230628","CDPHE"
"70","Utility4","7/10/2023",6.82,"24-hr flow-weighted composite","UD20230710","CDPHE"
"71","Utility4","7/24/2023",6.9,"24-hr flow-weighted composite","UD20230724","CDPHE"
"72","Utility4","8/21/2024",7.4,"24-hr flow-weighted composite","UD20240821","CDPHE"
"73","Utility4","9/16/2024",7.05,"24-hr flow-weighted composite","UD20240916","CDPHE"
"74","Utility4","9/30/2024",7.18,"24-hr flow-weighted composite","UD20240930","CDPHE"
"75","Utility4","10/2/2024",6.98,"24-hr flow-weighted composite","UD20241002","CDPHE"
"76","Utility4","10/2/2024",6.98,"24-hr flow-weighted composite","UD20241002","CDPHE"
"77","Utility4","10/8/2024",7.23,"24-hr flow-weighted composite","UD20241008","CDPHE"
"78","Utility4","10/9/2024",7.01,"24-hr flow-weighted composite","UD20241009","CDPHE"
"79","Utility4","11/20/2024",NA,"24-hr flow-weighted composite","UD20241120","CDPHE"
"80","Utility4","11/20/2024",NA,"24-hr flow-weighted composite","UD20241120","CDPHE"
"81","Utility4","11/20/2024",NA,"24-hr flow-weighted composite","UD20241120","CDPHE"
"82","Utility4","12/4/2024",6.225,"Composite ","UD20241204","CDPHE"
"83","Utility4","12/4/2024",6.225,"Composite ","UD20241204","CDPHE"
