,sample_id,rec_eff_percent
167,UA20240603,17.04597015
1,UA20240613,21.76428571
222,UA20240613,7.27641791
2,UA20240617,125.7285714
234,UA20240617,42.03462687
3,UA20240620,90.41428571
4,UA20240624,21.50428571
137,UA20240715,20.45612
146,UA20240717,195.7168
145,UA20240718,195.7168
153,UB20240530,5.37838806
160,UB20240603,12.37014925
49,UB20240606,41.4
129,UB20240606,139.8428571
181,UB20240606,46.75343284
185,UB20240606,13.84119403
50,UB20240610,22.29571429
130,UB20240610,213.9571429
198,UB20240610,71.5319403
199,UB20240610,7.454089552
51,UB20240613,19.68428571
131,UB20240613,63.67142857
210,UB20240613,21.28716418
217,UB20240613,6.581014925
52,UB20240617,30.88571429
132,UB20240617,34.97142857
230,UB20240617,11.6919403
53,UB20240620,42.51428571
133,UB20240620,30.68571429
54,UB20240624,17.18142857
134,UB20240624,53.84285714
55,UB20240627,26.65285714
135,UB20240627,62.12857143
56,UB20240701,33.37142857
136,UB20240701,49.2
144,UC20240502,9.46627
166,UC20240603,17.54746269
114,UC20240606,161.1
191,UC20240606,53.86029851
115,UC20240610,12.09428571
200,UC20240610,4.043462687
116,UC20240613,100.2857143
221,UC20240613,33.52835821
117,UC20240617,40.72857143
237,UC20240617,13.61671642
118,UC20240620,15.97571429
119,UC20240624,34
173,UD20240603,11.25253731
19,UD20240605,80.62857143
175,UD20240605,26.95641791
140,UD20240610,10.37373
21,UD20240612,8.272857143
215,UD20240612,2.765850746
22,UD20240617,67.02857143
239,UD20240617,22.40955224
23,UD20240620,34.37142857
24,UD20240624,33.32857143
25,UD20240626,20.92857143
26,UD20240701,28.48714286
158,UE20240603,29.72179104
27,UE20240606,25.95285714
182,UE20240606,8.676776119
28,UE20240610,11.42571429
197,UE20240610,3.819940299
29,UE20240613,63.94285714
211,UE20240613,21.37791045
30,UE20240617,22.84714286
31,UE20240624,8.931428571
32,UE20240627,23.74142857
33,UE20240701,11.22857143
